The Times
Plains,Western,Hub,,,,,,,,,,,
Industrial,Road,Steampunk,,,,,,,,,,,
Tree,Rouge,Eastern,,,,,,,,,,,
Wasteland,Desert,Scorched,,,,,,,,,,,
Wall,Obsidian,Valley,,,,,,,,,,,
Skybridge,Ships,Docks,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,Tree,Rouge,Bartenders,BRT,25,DNM,,,,,,,
TEAM,Tree,Rouge,The Councel,TCN,55,TUN,,,,,,,
TEAM,Tree,Rouge,Wyvern,WYV,55,HNT,,,,,,,
TEAM,Tree,Rouge,Blue Jays,BJY,85,SCO,,,,,,,
TEAM,Tree,Eastern,Alchemists,ALC,65,WLF,,,,,,,
TEAM,Tree,Eastern,Frost Giants,FRG,95,TTN,,,,,,,
TEAM,Tree,Eastern,Ents,ENT,55,WIZ,,,,,,,
TEAM,Tree,Eastern,Drunken Masters,DNM,25,BRT,,,,,,,
TEAM,Tree,Eastern,The Union,TUN,25,TCN,,,,,,,
TEAM,Tree,Eastern,Hunters,WYV,25,HNT,,,,,,,
TEAM,Tree,Eastern,Scorpions,SCO,85,BJY,,,,,,,
# Wasteland,,,,,,,,,,,,,
TEAM,Wasteland,Desert,Tigers,TIG,75,TDB,,,,,,,
TEAM,Wasteland,Desert,Bone Dragons,BDR,65,VIP,,,,,,,
TEAM,Wasteland,Desert,Sandstorm,SST,25,SKE,,,,,,,
TEAM,Wasteland,Desert,Cobras,COB,25,IMM,,,,,,,
TEAM,Wasteland,Desert,Mantis,MNT,25,MOT,,,,,,,
TEAM,Wasteland,Desert,Scorched Spiders,SCS,25,BSK,,,,,,,
TEAM,Wasteland,Desert,Beetles,BEE,25,LIC,,,,,,,
TEAM,Wasteland,Scorched,Thunderbirds,TDB,95,TIG,,,,,,,
TEAM,Wasteland,Scorched,Vipers,VIP,65,BDR,,,,,,,
TEAM,Wasteland,Scorched,Skeletons,SKE,25,SST,,,,,,,
TEAM,Wasteland,Scorched,Immortals,IMM,25,COB,,,,,,,
TEAM,Wasteland,Scorched,Mothras,MOT,25,MNT,,,,,,,
TEAM,Wasteland,Scorched,Basilisk,BSK,25,SCS,,,,,,,
TEAM,Wasteland,Scorched,Liches,LIC,25,BEE,,,,,,,
# Wall,,,,,,,,,,,,,
TEAM,Wall,Obsidian,Obsidian Knights,OBK,95,WRL,,,,,,,
TEAM,Wall,Obsidian,Penguins,PEN,25,DES,,,,,,,
TEAM,Wall,Obsidian,Warriors,WAR,25,DMN,,,,,,,
TEAM,Wall,Obsidian,Dragons,DRG,25,WLD,,,,,,,
TEAM,Wall,Obsidian,The Legion,TLG,25,SPT,,,,,,,
TEAM,Wall,Obsidian,Mercenaries,MRC,25,ASS,,,,,,,
TEAM,Wall,Obsidian,Forgotten,FOR,25,DVL,,,,,,,
TEAM,Wall,Valley,Warlocks,WRL,55,OBK,,,,,,,
TEAM,Wall,Valley,Destroyers,DES,25,PEN,,,,,,,
TEAM,Wall,Valley,Demons,DMN,25,WAR,,,,,,,
TEAM,Wall,Valley,Warlords,WLD,25,DRG,,,,,,,
TEAM,Wall,Valley,Spartians,SPT,25,TLG,,,,,,,
TEAM,Wall,Valley,Assasins,ASS,25,MRC,,,,,,,
TEAM,Wall,Valley,Devils,DVL,25,FOR,,,,,,,
# Skybridge,,,,,,,,,,,,,
TEAM,Skybridge,Ships,Aerial Aces,ARA,25,BRG,,,,,,,
TEAM,Skybridge,Ships,Royal Navy,RYN,55,PIR,,,,,,,
TEAM,Skybridge,Ships,Sea Monsters,SEM,25,ATL,,,,,,,
TEAM,Skybridge,Ships,Mermaids,MER,25,EXP,,,,,,,
TEAM,Skybridge,Ships,The Kraken,KRK,25,STR,,,,,,,
TEAM,Skybridge,Ships,Shipwrecks,SHW,25,SRN,,,,,,,
TEAM,Skybridge,Ships,Dolphins,DOL,25,SHK,,,,,,,
TEAM,Skybridge,Docks,Brigadiers,BRG,25,ARA,,,,,,,
TEAM,Skybridge,Docks,Pirates,PIR,25,RYN,,,,,,,
TEAM,Skybridge,Docks,Atlanteans,ATL,25,SEM,,,,,,,
TEAM,Skybridge,Docks,Explorers,EXP,25,MER,,,,,,,
TEAM,Skybridge,Docks,Storm Riders,STR,75,KRK,,,,,,,
TEAM,Skybridge,Docks,Sirens,SRN,25,SHW,,,,,,,
TEAM,Skybridge,Docks,Sharks,SHK,25,DOL,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,TDB,Nick Saban,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,TDB,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,TDB,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,TDB,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,TDB,QB,Jalen Hurts,Jr,72,200,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
